Date : 2022-11-26 15:55:51
Directory : d:\Dev\projects\xhis\web\src
Total : 97 files,  12806 codes, 3651 comments, 1121 blanks, all 17578 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Dev\projects\xhis\web\src\views\analyze\submerge-analyze.vue             | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\analyze\visualrange-analyze.vue          | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\analyze\watersurface-analyze.vue         | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\apply\apply.vue                          | Vue        |         27 |          0 |          3 |         30 |
| d:\Dev\projects\xhis\web\src\views\apply\electronicfiles-apply.vue          | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\apply\paperfiles-apply.vue               | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\apply\record-apply.vue                   | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\aerialvideo-data.vue                | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\bim-data.vue                        | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\construction-data.vue               | Vue        |         22 |          0 |          5 |         27 |
| d:\Dev\projects\xhis\web\src\views\data\data.vue                            | Vue        |         57 |          0 |          3 |         60 |
| d:\Dev\projects\xhis\web\src\views\data\dom-data.vue                        | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\geology-data.vue                    | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\investigation-data.vue              | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\irrigat-data.vue                    | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\manual3D-data.vue                   | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\pipe-data.vue                       | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\plan-data.vue                       | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\pointcloud-data.vue                 | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\real3D-data.vue                     | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\river-data.vue                      | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\statistics-data.vue                 | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\survey-data.vue                     | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\terrain-data.vue                    | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\water-data.vue                      | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\data\waterengineer-data.vue              | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\home\home.vue                            | Vue        |         45 |          6 |          6 |         57 |
| d:\Dev\projects\xhis\web\src\views\map\geology-map.vue                      | Vue        |      1,131 |        144 |         62 |      1,337 |
| d:\Dev\projects\xhis\web\src\views\map\irrigation-map.vue                   | Vue        |      1,297 |      2,362 |         62 |      3,721 |
| d:\Dev\projects\xhis\web\src\views\map\map.vue                              | Vue        |         29 |          0 |          3 |         32 |
| d:\Dev\projects\xhis\web\src\views\map\pipe-map.vue                         | Vue        |      1,308 |        139 |         61 |      1,508 |
| d:\Dev\projects\xhis\web\src\views\map\plan-map.vue                         | Vue        |      1,356 |        141 |         62 |      1,559 |
| d:\Dev\projects\xhis\web\src\views\map\water-map.vue                        | Vue        |      1,244 |        163 |         61 |      1,468 |
| d:\Dev\projects\xhis\web\src\views\project\boundarysurvey-project.vue       | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\brigeinvestigate-project.vue     | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\buildinginvestigate-project.vue  | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\channel-project.vue              | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\civil-project.vue                | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\construction-project.vue         | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\disastersinvestigate-project.vue | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\electromechanical-project.vue    | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\engineersurvey-project.vue       | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\farmwater-project.vue            | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\flood-project.vue                | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\geodeticsurvey-project.vue       | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\gis-project.vue                  | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\hydro-project.vue                | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\hydroinvestigate-project.vue     | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\lineinvestigate-project.vue      | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\oceansurvey-project.vue          | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\photosurvey-project.vue          | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\pipeinvestigate-project.vue      | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\port-project.vue                 | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\project.vue                      | Vue        |         69 |          0 |          3 |         72 |
| d:\Dev\projects\xhis\web\src\views\project\riverbasin-project.vue           | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\underinvestigate-project.vue     | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\waterhub-project.vue             | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\watersoil-project.vue            | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\project\watersupply-project.vue          | Vue        |         22 |          1 |          5 |         28 |
| d:\Dev\projects\xhis\web\src\views\user\login.vue                           | Vue        |        147 |         17 |         19 |        183 |
| d:\Dev\projects\xhis\web\src\views\user\register.vue                        | Vue        |        191 |         23 |         26 |        240 |
| Total                                                                       |            |     12,806 |      3,651 |      1,121 |     17,578 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
